2022-07-29 16:47:50.424 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"timestamp":"2022-07-29T08:47:52.482Z","status":404,"error":"Not Found","message":"","path":"/core/api/quote"}
2022-07-29 16:48:42.721 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":1400000,"message":"Required String parameter 'from' is not present"}
2022-07-29 16:53:04.833 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"insufficient liquidity"}
2022-07-29 17:19:09.397 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"insufficient liquidity"}
2022-07-29 17:20:56.787 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"insufficient liquidity"}
2022-07-29 17:26:27.798 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"insufficient liquidity"}
2022-07-29 17:55:46.158 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"insufficient liquidity"}
2022-07-29 17:55:46.524 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2200000,"message":"network not found"}
2022-07-29 17:55:46.825 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2100000,"message":"only supports evm"}
2022-07-29 17:55:47.227 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2200000,"message":"from not found"}
2022-07-29 17:55:47.695 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2200000,"message":"from not found"}
2022-07-29 17:55:48.191 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2200000,"message":"to not found"}
2022-07-29 17:55:48.729 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2200000,"message":"to not found"}
2022-07-29 17:55:49.439 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2400000,"message":"No protocols found, please retry with a different quote"}
2022-07-29 17:55:49.747 | ERROR    | Common.Http:get_swap_route:162 - <-----Query Swap Route  Response Error----->{"code":2100000,"message":"amount decimals long too"}
